Report ID,Reporting Entity,Report Submission Date,Incident Date,City,State,Roadway Type,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,SV Precrash Speed (MPH),Weather - Clear,Weather - Rain,Weather - Fog/Smoke/Haze,Automation System Engaged?,Engagement Status,Within ODD?,Narrative,Incident Year,Incident Month,Incident Month Name,Incident Quarter,Reporting Delay Months
13781-13237,"Tesla, Inc.",2026-03-01,2025-11-01,Austin,TX,Street,"Other, see Narrative",No Injured Reported,Stopped,0,Y, , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was stopped behind traffic at an intersection with a red light. A person on a motor scooter (VRU) approached the ADS from behind and moved into a gap directly behind the ADS. As the VRU was directly behind the stopped ADS, the VRU steered right and made contact with the ADS's rear end. Afterwards the VRU hopped the right curb and continued to proceed straight on the sidewalk. Safety monitor and passenger were present in the vehicle.",2025,11,November,4,4
13781-13237,"Tesla, Inc.",2025-11-01,2025-11-01,Austin,TX,Street,"Other, see Narrative",No Injured Reported,Stopped,0,Y, , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,11,November,4,0
13781-13644,"Tesla, Inc.",2026-01-01,2026-01-01,Austin,TX,Street,Heavy Truck,Property Damage. No Injured Reported,Proceeding Straight,4, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2026,1,January,1,0
13781-13644,"Tesla, Inc.",2026-03-01,2026-01-01,Austin,TX,Street,Heavy Truck,Property Damage. No Injured Reported,Proceeding Straight,4, , , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS  was proceeding straight on a street, where space was minimal due to a parked heavy duty tow truck and a parked passenger vehicle on the either side of the street. As the ADS continued straight, the ADS's left side mirror made contact with the heavy duty tow truck's left side of the bed. Safety monitor and one passenger were present.",2026,1,January,1,2
13781-13645,"Tesla, Inc.",2026-01-01,2026-01-01,Austin,TX,Parking Lot,Pole / Tree,Property Damage. No Injured Reported,Backing,1, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2026,1,January,1,0
13781-13645,"Tesla, Inc.",2026-03-01,2026-01-01,Austin,TX,Parking Lot,Pole / Tree,Property Damage. No Injured Reported,Backing,1, , , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS started reversing  after encountering a blocked alley.  As the ADS was reversing, the ADS's rear end made contact with a wooden electrical pole. Safety monitor was present and no passengers were inside the vehicle.",2026,1,January,1,2
13781-13646,"Tesla, Inc.",2026-01-01,2026-01-01,Austin,TX,Parking Lot,Other Fixed Object,Property Damage. No Injured Reported,Backing,2,Y, , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2026,1,January,1,0
13781-13646,"Tesla, Inc.",2026-03-01,2026-01-01,Austin,TX,Parking Lot,Other Fixed Object,Property Damage. No Injured Reported,Backing,2,Y, , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS  was reversing in a parking lot. As the ADS was reversing into an empty parking space, the ADS's right rear tire made contact with a corner of a curb. Safety monitor was present and no passengers were inside the vehicle.",2026,1,January,1,2
13781-13647,"Tesla, Inc.",2026-03-01,2025-12-01,Austin,TX,Street,Other Fixed Object,Property Damage. No Injured Reported,Proceeding Straight,17,Y, , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS  was proceeding straight on a two lane street in the #2 lane. As the ADS continued straight on the street, the ADS's rear right tire proceeded over an uneven pavement that punctured the rear right tire. As the ADS reduced vehicle speed to approximately 18MPH while pulling over to the side of the road, the ADS's rear right tire made contact with the corner of a right curb. The ADS initiated a minimal risk condition maneuver due to the loss in tire pressure. Safety monitor and a passenger were present inside the vehicle.",2025,12,December,4,3
13781-13647,"Tesla, Inc.",2026-01-01,2025-12-01,Austin,TX,Street,Other Fixed Object,Property Damage. No Injured Reported,Proceeding Straight,17,Y, , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,12,December,4,1
13781-13648,"Tesla, Inc.",2026-01-01,2026-01-01,Austin,TX,Street,Bus,Property Damage. No Injured Reported,Stopped,0,Y, , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2026,1,January,1,0
13781-13648,"Tesla, Inc.",2026-03-01,2026-01-01,Austin,TX,Street,Bus,Property Damage. No Injured Reported,Stopped,0,Y, , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was stopped at an intersection with a red light in the left most lane (the adjacent right lane next to the ADS was blocked off with construction barriers). While the ADS remained stopped, a metrobus from the perpendicular left of the ADS made a right turn into the lane nearest the ADS. As the metrobus made the right turn, the bicycle rack in front of the metrobus sideswiped the ADS's left side. Safety monitor and two passengers were present.",2026,1,January,1,2
13781-14043,"Tesla, Inc.",2026-02-01,2026-01-01,Austin,TX,Street,Other Fixed Object,Property Damage. No Injured Reported,Lane / Road Departure,9,Y, , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2026,1,January,1,1
13781-14043,"Tesla, Inc.",2026-03-01,2026-01-01,Austin,TX,Street,Other Fixed Object,Property Damage. No Injured Reported,Lane / Road Departure,9,Y, , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was proceeding straight on a street and the safety monitor requested support to assist with vehicle navigation. The teleoperatorÂ took over vehicle control when the ADS was stopped and proceeded straight on the street. The Tesla vehicle made contact with a temporary barricade for a construction site at approximately 9MPH, scraping the front-left fender and tire. Safety monitor was present and no passengers were inside the vehicle.",2026,1,January,1,2
