Report ID,Reporting Entity,Report Submission Date,Incident Date,City,State,Roadway Type,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,SV Precrash Speed (MPH),Automation System Engaged?,Engagement Status,Within ODD?,Narrative,Incident Year,Incident Month,Incident Month Name,Incident Quarter,Reporting Delay Months,Weather Condition,Severity Group,Crash Counterpart Group
31101-13139,Avride Inc.,2025-11-01,2025-09-01,Dallas,TX,Street,SUV,Property Damage. No Injured Reported,Proceeding Straight,30,ADS,Verified Engaged,Yes,"Our vehicle was traveling on [XXX], a three-lane one-way street, in compliance with the posted speed limit. We were moving in the left lane. While passing the entrance to the parking lot at [XXX] on the left, a black SUV traveling in the middle lane suddenly turned left into the parking lot, crossing our path and striking the side of our vehicle.",2025,9,September,3,2,Clear,No Injury,Passenger Vehicle
30270-13239,Waymo LLC,2025-11-01,2025-11-01,San Francisco,CA,Street,Passenger Car,Property Damage. No Injured Reported,Making Left Turn,1,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 8:15 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV was traveling southbound on [XXX] with its left turn signal activated when it came to a stop at the stop sign at the intersection with [XXX] in preparation for a left turn. The Waymo AV then proceeded forward to initiate a left turn onto [XXX], and a passenger car traveling southbound on [XXX] behind the Waymo AV approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
30270-13202,Waymo LLC,2025-11-01,2025-11-01,Phoenix,AZ,Parking Lot,SUV,Property Damage. No Injured Reported,Passing,7,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 9:31 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving an SUV in a parking lot at [XXX].
The Waymo AV was stopped facing east at the curb in a parking lot at [XXX] with its hazard lights activated for a passenger drop-off. While the Waymo AV was stopped, an SUV traveling westbound in the parking lot initiated a left turn into a passenger loading zone driveway and slowed to a stop facing south, within the Waymo AV's lane of travel. The Waymo AV proceeded forward and maneuvered to the left to pass the rear of the SUV. While the Waymo AV was passing the SUV, the SUV began to reverse and the rear driver side of the SUV made contact with the rear passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
30270-13194,Waymo LLC,2025-11-01,2025-11-01,Scottsdale,AZ,Street,Passenger Car,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 1:26 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving a passenger car on [XXX] near [XXX].
The Waymo AV was parked facing east at the south curb on [XXX]. While the Waymo AV was parked, a passenger car traveling eastbound on [XXX] proceeded past the left of the Waymo AV and  the right side of the passenger car made contact with the left side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
30270-13197,Waymo LLC,2025-11-01,2025-11-01,Los Angeles,CA,Street,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 12:14 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling northwestbound in the third to the right lane on [XXX] when it came to a stop in a queue of traffic for a red light at the intersection with [XXX]. While the Waymo AV was stopped, a passenger car traveling northwestbound in the third to the right lane on [XXX] approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
30270-13193,Waymo LLC,2025-11-01,2025-11-01,Culver City,CA,Street,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,39,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 10:21 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Culver City, California was in a collision involving a fallen street sign on [XXX] near [XXX]. 
The Waymo AV was traveling southwestbound in the second to the right lane on [XXX] when the Waymo AV's undercarriage made contact with a fallen street sign in the Waymo AV's lane of travel. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. 

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Other / Unknown
30270-13192,Waymo LLC,2025-11-01,2025-11-01,Tempe,AZ,Street,Passenger Car,Minor W/ Hospitalization,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 5:31 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was stopped facing south on [XXX] for a stop sign at the intersection with [XXX] with its right turn signal activated in preparation for a right turn. While the Waymo AV was stopped, a passenger car traveling southbound on [XXX] approached the Waymo AV from behind at a high rate of speed and began to maneuver to the left, and the front right side of the passenger car made contact with the rear left side of the stationary Waymo AV. The front of the passenger car then made contact with the rear of a second passenger car that was stopped at the stop sign in front of and to the left of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. All three vehicles sustained damage. The driver of the second passenger car was transported to a hospital by an ambulance with unknown injuries.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Unknown,Minor Injury,Passenger Vehicle
30270-13190,Waymo LLC,2025-11-01,2025-11-01,Tempe,AZ,Street,Passenger Car,Minor W/O Hospitalization,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 12:18 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV was stopped facing west in the third from the right lane on [XXX] for a queue of traffic at a red light at the intersection with [XXX]. While the Waymo AV was stopped, a passenger car that was initially stopped directly behind the Waymo AV proceeded forward, and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. A passenger in the Waymo AV was not belted at the time of collision.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Unknown,Minor Injury,Passenger Vehicle
30270-13198,Waymo LLC,2025-11-01,2025-11-01,San Francisco,CA,Intersection,Passenger Car,Unknown,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 10:09 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV was stopped in the right lane on [XXX], southwestbound for a red light at the intersection with [XXX]. While the Waymo AV remained stopped, a passenger car that was initially stopped directly behind the Waymo AV proceeded forward, and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Neither vehicle sustained damage. The driver of the passenger car was transported from the scene to a hospital with unknown injuries.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,Unknown,Passenger Vehicle
30270-13167,Waymo LLC,2025-11-01,2025-11-01,Los Angeles,CA,Street,Passenger Car,Unknown,Proceeding Straight,2,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 4:52 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV was traveling northeastbound on [XXX], with its right turn signal activated, when it slowed to a stop for a stop sign at the intersection with [XXX]. The Waymo AV proceeded forward slowly as it was yielding to vehicles traveling southeastbound on [XXX] and preparing to turn right onto [XXX]. While the Waymo was proceeding forward, a passenger car traveling northeastbound on [XXX] approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. The passenger in the Waymo AV was not belted at the time of the collision. The passenger in the Waymo AV was transported to a hospital by an ambulance with unknown injuries.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Rain,Unknown,Passenger Vehicle
30270-11849,Waymo LLC,2025-11-01,2025-10-01,Los Angeles,CA,Street,SUV,Unknown,Parked,0,ADS,Verified Engaged,Yes,"Other than an update to the highest severity injury alleged field to reflect an unknown  injury level, the content of this report is unchanged from the initial report submitted on October [XXX], 2025 [Report ID # 30270-11849-1].

On October [XXX], 2025 at 10:16 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving an SUV on [XXX] near [XXX]. 

The Waymo AV was parked at the curb facing north on [XXX] for a passenger drop-off with hazard lights activated. An SUV traveling northbound on [XXX] maneuvered towards the parked Waymo AV. As the SUV approached the Waymo AV from behind, the front of the SUV made contact with the rear left side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. Waymo later received notice of alleged unknown injuries from the passengers in the Waymo AV.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,10,October,4,1,Clear,Unknown,Passenger Vehicle
30270-13161,Waymo LLC,2025-11-01,2025-11-01,Scottsdale,AZ,Street,Non-Motorist: Pedestrian,Moderate W/ Hospitalization,Proceeding Straight,4,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 12:02 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Scottsdale, Arizona was in a collision involving a passenger of the Waymo AV on [XXX] near [XXX].
The Waymo AV was travelling northbound in the left lane of [XXX]. While the AV was in  motion, the two passengers seated in the rear of the Waymo AV removed their seatbelts and opened the right rear passenger side door. The Waymo AV detected the opened door and began to slow in lane. While the Waymo AV was slowing to a stop, the passenger seated in the right rear passenger seat exited the vehicle through the open door, placed their feet on the ground, and the rear right tire of the Waymo AV came to a stop on top of the passenger's right foot. The Waymo AV remained stopped on top of the passenger's foot until emergency services arrived and lifted the right side of the vehicle. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passenger of the Waymo AV was transported from the scene to a hospital for medical treatment with moderate injuries to the foot.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment and a vulnerable road user was struck by an involved vehicle. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,Moderate Injury,Vulnerable Road User
30270-13159,Waymo LLC,2025-11-01,2025-11-01,San Francisco,CA,Street,Heavy Truck,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 7:25 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] near [XXX].
The Waymo AV was traveling southeastbound in the rightmost lane on [XXX] when it slowed to a stop for a heavy truck traveling ahead of the Waymo AV in the rightmost lane that was slowing with its hazard lights activated. While the Waymo AV was stopped, the heavy truck came to a stop and then reversed, and the rear of the heavy truck trailer made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Commercial Vehicle
30270-13160,Waymo LLC,2025-11-01,2025-11-01,Austin,TX,Parking Lot,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,8,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 4:48 PM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision with the pavement at the parking lot entrance at [XXX].
The Waymo AV was stopped facing west  in the center lane on [XXX] with its left turn signal activated, waiting to turn left into a parking lot at [XXX]. After eastbound traffic cleared, the Waymo AV proceeded to turn left into the parking lot at [XXX], and the Waymo AV's undercarriage made contact with the pavement at the entrance of the parking lot. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.

Waymo is reporting this crash under Request No. 1  of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Other / Unknown
30270-13137,Waymo LLC,2025-11-01,2025-11-01,San Francisco,CA,Intersection,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 9:12 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV was traveling eastbound on [XXX] with the left turn signal activated when it slowed to a stop for a stop sign at the intersection with [XXX], preparing to turn left onto [XXX]. While the Waymo AV remained stopped to yield to a pedestrian crossing [XXX] in the marked crosswalk, a passenger car traveling eastbound on [XXX] approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
30270-13144,Waymo LLC,2025-11-01,2025-11-01,Phoenix,AZ,Street,Pickup Truck,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 6:48 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a pickup truck on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing south on [XXX] when a pickup truck traveling southbound on [XXX] approached the Waymo AV from behind and the front right side of the pickup truck made contact with the rear left side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. 

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
30270-13130,Waymo LLC,2025-11-01,2025-11-01,Los Angeles,CA,Intersection,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 2:51 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was stopped facing southwest in the left lane on [XXX] for a red light at the intersection with [XXX] and a passenger car was stopped facing southwest directly behind the Waymo AV. While the Waymo AV and the passenger car remained stopped, an SUV traveling southwestbound on [XXX] in the left lane approached the passenger car from behind and the front of the SUV made contact with the rear of the stationary passenger car. The front of the passenger car then made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV, the passenger car, and the SUV sustained damage. A passenger in the Waymo AV was not belted at the time of the collision.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Rain,No Injury,Passenger Vehicle
30270-13128,Waymo LLC,2025-11-01,2025-11-01,San Francisco,CA,Street,Passenger Car,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 1:59 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX].
The Waymo AV was parked in-lane facing south on [XXX] for a passenger pick-up with hazard lights activated. While the Waymo AV was parked, a passenger car that was initially stopped facing south directly behind the Waymo AV approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
30270-13127,Waymo LLC,2025-11-01,2025-11-01,Phoenix,AZ,Parking Lot,Heavy Truck,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 11:12 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a heavy truck in a parking lot at [XXX]. 
The Waymo AV was stopped in-lane facing east in a parking lot at [XXX] with hazard lights activated for a passenger drop-off. While the Waymo AV was stopped, a heavy truck traveling westbound in the parking lot proceeded to pass the Waymo AV on the left, and the rear left side of the heavy truck trailer made contact with the rear left side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Commercial Vehicle
30270-13126,Waymo LLC,2025-11-01,2025-11-01,Los Angeles,CA,Street,Heavy Truck,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 7:34 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was traveling northbound after making a left turn into a narrow portion of [XXX] when it slowed to a stop to yield to a heavy truck that was traveling southbound and completing a left turn. The heavy truck continued to maneuver forward to complete the left turn and began making a right turn to continue on [XXX]. As the heavy truck passed the Waymo AV, the rear left side of the heavy truck trailer made contact with the front left side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode.The Waymo AV sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Rain,No Injury,Commercial Vehicle
31101-13154,Avride Inc.,2025-11-01,2025-10-01,Austin,TX,Intersection,SUV,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Exiting ODD,Our vehicle was yielding to oncoming traffic before merging from the [XXX] service road onto [XXX] when it was rear-ended by a Honda Pilot.,2025,10,October,4,1,Clear,No Injury,Passenger Vehicle
30270-13100,Waymo LLC,2025-11-01,2025-11-01,Mountain View,CA,Street,Van,Minor W/O Hospitalization,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 10:56 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Mountain View, California was in a collision involving a mail truck on [XXX] at [XXX]. 
The Waymo AV was traveling northeastbound in the rightmost lane on [XXX] with its right turn signal activated when it began to maneuver to the right in preparation for a right turn at the intersection with [XXX] and came to a stop at the green light before entering the intersection. While the Waymo AV was stopped, a mail truck traveling northeastbound in the rightmost lane on [XXX] approached the Waymo AV from behind and the front of the mail truck made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. The passenger in the Waymo AV alleged a minor injury.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Rain,Minor Injury,Passenger Vehicle
30270-13148,Waymo LLC,2025-11-01,2025-11-01,Atlanta,GA,Intersection,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 3:15 AM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV came to a stop in the left lane facing south on [XXX] at a red light. Two pedestrians approached the Waymo AV and tried unsuccessfully to board the Waymo AV while it was stopped. While the Waymo AV remained stopped, the traffic light turned green and a passenger car traveling southbound on [XXX] in the left lane approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
30270-11791,Waymo LLC,2025-11-01,2025-09-01,Los Angeles,CA,Intersection,Passenger Car,Minor W/O Hospitalization,Stopped,0,ADS,Verified Engaged,Yes,"Other than an update to the highest severity injury alleged field to reflect a minor injury, the content of this report is unchanged from the initial report submitted on October 2, 2025 [Report ID # 30270-11791-1].

On September [XXX], 2025 at 10:29 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on [XXX] at [XXX]. 

The Waymo AV was stopped facing west on Franklin Avenue in the second to the left designated left turn lane for a red light at the intersection at [XXX] Avenue. While the Waymo AV was stopped, a passenger car that was traveling northbound in the rightmost lane on Highland Avenue attempted to make a right turn onto eastbound [XXX] Avenue. As the passenger car was making the right turn, the passenger car crossed the double yellow lane line and the front of the passenger car made contact with the left side of a second passenger car that was stopped facing west in the leftmost designated left turn lane on [XXX] Avenue. The right side of the second passenger car then made contact with the left side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV, the first passenger car, and the second passenger car sustained damage. Waymo later received notice of an alleged minor injury from the passenger in the Waymo AV.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away and because of airbag deployment. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,9,September,3,2,Clear,Minor Injury,Passenger Vehicle
30270-11955,Waymo LLC,2025-11-01,2025-10-01,San Francisco,CA,Street,Van,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On October [XXX], 2025 at 9:45 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on [XXX] near [XXX]. 
The Waymo AV was traveling northbound on a narrow portion of [XXX] with vehicles parked at the curb in both directions when it slowed to a stop to yield to a van that was traveling southbound on [XXX] after making a left turn from [XXX]. As the van proceeded to pass the Waymo AV, the rear left side of the van made contact with the rear left side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.

Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,10,October,4,1,Unknown,No Injury,Passenger Vehicle
30270-12046,Waymo LLC,2025-11-01,2025-10-01,Daly City,CA,Parking Lot,"Other, see Narrative",Property Damage. No Injured Reported,Making Left Turn,5,ADS,Verified Engaged,Yes,"On October [XXX], 2025 at 2:56 PM PT a Waymo Autonomous Vehicle (Waymo AV') operating in Daly City, California was in a collision involving a movable traffic barrier in a parking lot at [XXX]. 
The Waymo AV was stopped facing west in a parking lotat [XXX] in a queue of traffic. As traffic ahead advanced, the Waymo AV proceeded to make a left turn to travel southbound within the parking lot and the front left side of the Waymo AV made contact with the movable traffic barrier that was blocking off a section of the parking lot. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.

Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,10,October,4,1,Unknown,No Injury,Other / Unknown
30270-13024,Waymo LLC,2025-11-01,2025-11-01,Phoenix,AZ,Parking Lot,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight,5,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 10:01 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a passenger car in a parking lot at [XXX]. 
The Waymo AV was parked facing west in a parking lot at [XXX] with hazard lights activated for a passenger pick-up. While the Waymo AV was parked, a passenger car traveling westbound in the parking lot passed the Waymo AV on the left, made a left turn, and came to a stop. While the passenger car was stopped in front of and to the left of the Waymo AV, the Waymo AV proceeded forward to travel westbound in the parking lot. As the Waymo AV was passing behind the passenger car, the passenger car reversed, and the rear of the passenger car made contact with the left side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. The passenger in the Waymo AV was not belted at the time of the collision.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
30270-12054,Waymo LLC,2025-11-01,2025-11-01,Los Angeles,CA,Street,Heavy Truck,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 11:32 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was traveling northwestbound on a narrow portion of [XXX] when it maneuvered to the right and came to a stop to yield to a garbage truck that was traveling southeastbound on [XXX]. While the Waymo AV was stopped, the garbage truck proceeded forward to pass the Waymo AV and the front left side of the garbage truck made contact with the rear left side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Commercial Vehicle
30270-12055,Waymo LLC,2025-11-01,2025-11-01,Los Angeles,CA,Street,SUV,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On November [XXX], 2025 at 12:39 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was traveling southbound on [XXX] in the right lane when it came to a stop in a queue of traffic for a red light at the intersection with [XXX]. An SUV traveling southbound on [XXX] in the right lane approached the Waymo AV from behind, and the front of the SUV made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.

Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,11,November,4,0,Clear,No Injury,Passenger Vehicle
