Report ID,Reporting Entity,Report Submission Date,Incident Date,City,State,Roadway Type,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,SV Precrash Speed (MPH),Automation System Engaged?,Engagement Status,Within ODD?,Narrative,Incident Year,Incident Month,Incident Month Name,Incident Quarter,Reporting Delay Months,Weather Condition,Severity Group,Crash Counterpart Group
30270-11221,Waymo LLC,2025-07-01,2025-06-01,Los Angeles,CA,Street,Pickup Truck,Property Damage. No Injured Reported,Proceeding Straight,8,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 4:41 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a pickup truck on [XXX] near [XXX]. 
The Waymo AV was traveling southbound on [XXX] and approached a pick-up truck that was stopped in-lane facing east after making a left turn towards an alley behind [XXX]. As the Waymo AV passed the pick up truck, the pickup truck reversed and the rear of the pickup truck made contact with the driver side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11195,Waymo LLC,2025-07-01,2025-06-01,San Bruno,CA,Street,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,6,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 6:34 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Bruno, California was in a collision involving a fallen utility line on [XXX] near [XXX]. 
The Waymo AV was traveling northbound on [XXX] when the front of the Waymo AV made contact with a fallen utility line hanging across the roadway. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Other / Unknown
30270-11225,Waymo LLC,2025-07-01,2025-06-01,San Francisco,CA,Street,Passenger Car,Property Damage. No Injured Reported,Proceeding Straight,21,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 1:09 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was traveling westbound on [XXX]. A passenger car exiting a driveway on the north side of [XXX] entered the roadway in front of a van parked at the curb, and the front of the passenger car made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11219,Waymo LLC,2025-07-01,2025-06-01,Atlanta,GA,Street,Heavy Truck,Minor W/O Hospitalization,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 12:11 PM ET a Waymo Autonomous Vehicle (""Waymo AV"") operating in Atlanta, Georgia was in a collision involving a heavy truck on [XXX] at [XXX]. 
The Waymo AV was traveling eastbound on [XXX] and came to a stop to yield to a heavy truck traveling westbound on a portion of [XXX] with vehicles parked at both curbs. As the heavy truck passed the stationary Waymo AV, the driver side of the heavy truck made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passenger in the Waymo AV alleged a minor injury. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,Minor Injury,Commercial Vehicle
30270-11298,Waymo LLC,2025-07-01,2025-06-01,San Francisco,CA,Street,Heavy Truck,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 11:17 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was traveling westbound on a narrow portion of [XXX], with vehicles parked at the curb in both directions, when it came to a stop to yield to a heavy truck traveling eastbound on [XXX].  As the heavy truck passed by the stopped Waymo AV, the driver side of the heavy truck made contact with the driver side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Commercial Vehicle
30270-11291,Waymo LLC,2025-07-01,2025-06-01,Austin,TX,Intersection,Heavy Truck,Property Damage. No Injured Reported,Proceeding Straight,5,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 9:20 AM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a heavy truck on an unnamed service road off [XXX] near the intersection with [XXX].
The Waymo AV was traveling northwestbound in the right-most turn lane on an unnamed service road off [XXX] when it slowed at the intersection at [XXXX] to yield to northbound traffic in preparation for right turn onto northbound [XXX]. While the Waymo AV was slowing, a heavy truck that was stopped facing northwest in the left-most turn lane on the unnamed service road proceeded to turn right onto northbound [XXX] and crossed into the Waymo AV's lane of travel. The passenger side of the heavy truck made contact with the driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Unknown,No Injury,Commercial Vehicle
30270-11302,Waymo LLC,2025-07-01,2025-07-01,,,Intersection,Passenger Car,Property Damage. No Injured Reported,Making Left Turn,11,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 1:15 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling northbound in the left turn lane on [XXX] when it proceeded to make a protected left turn at the intersection with [XXX]. As the Waymo AV was completing its turn onto the leftmost lane on westbound [XXX], a passenger car that was also making a left turn from northbound [XXX] approached the Waymo AV from behind and the front of the passenger car made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,0,Clear,No Injury,Passenger Vehicle
30270-11194,Waymo LLC,2025-07-01,2025-06-01,San Francisco,CA,Intersection,SUV,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 4:18 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was stopped facing southwest on [XXX] for a red light at the intersection at [XXX]. While the Waymo AV remained stopped, an SUV that was initially stopped directly behind the Waymo AV proceeded to maneuver around the Waymo on the left, and the passenger side of the SUV made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,1,Clear,No Injury,Passenger Vehicle
30270-11403,Waymo LLC,2025-07-01,2025-07-01,Santa Clara,CA,Street,SUV,Moderate W/ Hospitalization,Making Left Turn,25,ADS,Verified Not Engaged,Yes,"On July [XXX], 2025 at 1:57 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Santa Clara, California was in a collision involving an SUV on [XXX] near [XXX].
The Waymo AV was stopped on [XXX], preparing to turn right onto northeastbound [XXX] while yielding to oncoming traffic. Once oncoming traffic had cleared, the Waymo AV began to turn right into the rightmost lane on northeastbound [XXX]. As the Waymo AV was completing the right turn, the test driver transitioned the Waymo AV to manual mode. The test driver changed lanes without a signal activated, crossing through the center travel lane and into the dedicated left turn lane where the test driver began to make an unprotected left across southwestbound [XXX]. During this unprotected left turn, an SUV was traveling in the leftmost southwestbound lane. The SUV began to maneuver towards the rightmost lane while the test driver was completing the left turn, and the front of the SUV made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment, a vehicle involved was towed away, and airbag deployment. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,0,Clear,Moderate Injury,Passenger Vehicle
30270-11400,Waymo LLC,2025-07-01,2025-07-01,San Francisco,CA,Street,Passenger Car,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On July [XXX], 2025 at 9:18 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX]. 
The Waymo AV was traveling southwestbound in the left lane on [XXX] when it slowed to a stop in a queue of traffic ahead. While the Waymo AV was stopped, a passenger car approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,7,July,3,0,Unknown,No Injury,Passenger Vehicle
